influencer_1,influencer_2,similarity_score
aaroncgshore,adamcollard,0.054275732
aaroncgshore,aliceliveing,0.06373592
aaroncgshore,brown.elle,0.06011833
aaroncgshore,charlottedawsy,0.13001439
aaroncgshore,chessieking,0.093043044
aaroncgshore,chloe.khan,0.07726212
aaroncgshore,courtneydblack,0.059542947
aaroncgshore,danosborneofficial,0.12049935
aaroncgshore,gabbydawnallen,0.07972428
aaroncgshore,ini.helen,0.07288045
aaroncgshore,itsalwayshana,0.05092299
aaroncgshore,jamesgshore,0.078997105
aaroncgshore,jamessmithpt,0.053529426
aaroncgshore,jesshunt2,0.07423498
aaroncgshore,jessica_rose_uk,0.09331039
aaroncgshore,jesswright77,0.0908481
aaroncgshore,katiepiper_,0.093026906
aaroncgshore,korisampson,0.068045035
aaroncgshore,lucymeck1,0.09615044
aaroncgshore,mac_griffiths_,0.05554633
aaroncgshore,mattdoesfitness,0.08186
aaroncgshore,ohpolly,0.063744694
aaroncgshore,oliviadbowen,0.094272666
aaroncgshore,rogersnipes,0.05508077
aaroncgshore,slimmingworld,0.064107955
aaroncgshore,sylvijaa,0.07264066
aaroncgshore,thebodycoach,0.07464972
aaroncgshore,thefitnesschef_,0.013579334
aaroncgshore,_jackfowler_,0.08173323
adamcollard,aliceliveing,0.2092838
adamcollard,brown.elle,0.02840237
adamcollard,charlottedawsy,0.13192895
adamcollard,chessieking,0.13887203
adamcollard,chloe.khan,0.05516961
adamcollard,courtneydblack,0.19350812
adamcollard,danosborneofficial,0.09807008
adamcollard,gabbydawnallen,0.15792952
adamcollard,ini.helen,0.03206141
adamcollard,itsalwayshana,0.13651873
adamcollard,jamesgshore,0.08724282
adamcollard,jamessmithpt,0.090195134
adamcollard,jesshunt2,0.057205193
adamcollard,jessica_rose_uk,0.059084542
adamcollard,jesswright77,0.0653108
adamcollard,katiepiper_,0.12607214
adamcollard,korisampson,0.07426981
adamcollard,lucymeck1,0.11698104
adamcollard,mac_griffiths_,0.08213118
adamcollard,mattdoesfitness,0.10421619
